Subject,Country,Year,Unit,Power,Value
Incidence of part-time employment,Spain,2012,Percentage,Units,13.574196
Incidence of part-time employment,Spain,2013,Percentage,Units,14.731691
Incidence of part-time employment,Spain,2014,Percentage,Units,14.706777
Incidence of part-time employment,Spain,2015,Percentage,Units,14.468982
Self-employment rates: women,Spain,2012,Percentage,Units,12.738530
Self-employment rates: women,Spain,2013,Percentage,Units,13.068340
Self-employment rates: women,Spain,2014,Percentage,Units,12.981060
Self-employment rates: men,Spain,2012,Percentage,Units,21.322340
Self-employment rates: men,Spain,2013,Percentage,Units,22.080090
Self-employment rates: men,Spain,2014,Percentage,Units,21.656270
Self-employment rates: total,Spain,2012,Percentage,Units,17.399180
Self-employment rates: total,Spain,2013,Percentage,Units,17.949380
Self-employment rates: total,Spain,2014,Percentage,Units,17.688800
Average hours actually worked,Spain,2011,Hours,Units,1715.500000
Average hours actually worked,Spain,2012,Hours,Units,1701.200000
Average hours actually worked,Spain,2013,Hours,Units,1693.500000
Average hours actually worked,Spain,2014,Hours,Units,1694.600000
Average hours actually worked,Spain,2015,Hours,Units,1699.500000
Unemployment rates: men,Spain,2011,Percentage,Units,21.044270
Unemployment rates: men,Spain,2012,Percentage,Units,24.581750
Unemployment rates: men,Spain,2013,Percentage,Units,25.598510
Unemployment rates: men,Spain,2014,Percentage,Units,23.601880
Unemployment rates: men,Spain,2015,Percentage,Units,20.772790
Unemployment rates: women,Spain,2011,Percentage,Units,21.811880
Unemployment rates: women,Spain,2012,Percentage,Units,25.033080
Unemployment rates: women,Spain,2013,Percentage,Units,26.670640
Unemployment rates: women,Spain,2014,Percentage,Units,25.425080
Unemployment rates: women,Spain,2015,Percentage,Units,23.547870
Unemployment rates: total,Spain,2011,Percentage,Units,21.390480
Unemployment rates: total,Spain,2012,Percentage,Units,24.788150
Unemployment rates: total,Spain,2013,Percentage,Units,26.091900
Unemployment rates: total,Spain,2014,Percentage,Units,24.442840
Unemployment rates: total,Spain,2015,Percentage,Units,22.056550
Long-term unemployment,Spain,2011,Percentage,Units,41.588128
Long-term unemployment,Spain,2012,Percentage,Units,44.366453
Long-term unemployment,Spain,2013,Percentage,Units,49.682550
Long-term unemployment,Spain,2014,Percentage,Units,52.843574
Long-term unemployment,Spain,2015,Percentage,Units,51.600453
Gross domestic expenditure on R&D,Spain,2011,US Dollar,Millions,19505.544000
Gross domestic expenditure on R&D,Spain,2012,US Dollar,Millions,18402.974000
Gross domestic expenditure on R&D,Spain,2013,US Dollar,Millions,17818.028000
Gross domestic expenditure on R&D,Spain,2014,US Dollar,Millions,17590.719000
Gross domestic expenditure on R&D,Spain,2015,US Dollar,Millions,17980.375000
Researchers,Spain,2011,Ratio,Units,6.814122
Researchers,Spain,2012,Ratio,Units,6.911643
Researchers,Spain,2013,Ratio,Units,6.898745
Researchers,Spain,2014,Ratio,Units,6.776098
Researchers,Spain,2015,Ratio,Units,6.610605
Triadic patent families,Spain,2011,Number,Units,221.907300
Triadic patent families,Spain,2012,Number,Units,231.297400
Triadic patent families,Spain,2013,Number,Units,230.745300
Triadic patent families,Spain,2014,Number,Units,248.190200
Triadic patent families,Spain,2015,Number,Units,250.924800
Water abstractions per capita,Spain,2011,Cubic metres,Units,774.773100
Water abstractions per capita,Spain,2012,Cubic metres,Units,798.629000
Water abstractions per capita,Spain,2013,Cubic metres,Units,694.226200
Water abstractions per capita,Spain,2014,Cubic metres,Units,708.427500
Total abstractions,Spain,2011,Cubic metres,Millions,34993.000000
Total abstractions,Spain,2012,Cubic metres,Millions,34239.000000
Total abstractions,Spain,2013,Cubic metres,Millions,32279.000000
Total abstractions,Spain,2014,Cubic metres,Millions,32855.000000
Generation intensities of municipal waste,Spain,2011,Kilograms,Units,483.326000
Generation intensities of municipal waste,Spain,2012,Kilograms,Units,467.297000
Generation intensities of municipal waste,Spain,2013,Kilograms,Units,453.647000
Generation intensities of municipal waste,Spain,2014,Kilograms,Units,447.884000
Generation intensities of municipal waste,Spain,2015,Kilograms,Units,456.010000
Mean scores on the mathematics scale in PISA 2012: women,Spain,2012,Standard-error,Units,475.964670
YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 15 and 19,Spain,2014,Percentage,Units,12.053843
YouthsÂ whoÂ areÂ notÂ inÂ educationÂ norÂ inÂ employment: aged between 20 and 24,Spain,2014,Percentage,Units,29.027155
Expenditure per student in primary education,Spain,2012,US Dollar,Units,7111.240300
Expenditure per student in lower secondary education,Spain,2012,US Dollar,Units,9136.855100
Expenditure per student in upper secondary education,Spain,2012,US Dollar,Units,9144.618700
Expenditure per student in all secondary education,Spain,2012,US Dollar,Units,9140.752900
Change in expenditure in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Spain,2012,Index,Units,110.434760
Change in the number of students in primariy; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Spain,2012,Index,Units,107.427490
Change in expenditure per student in primary; secondary and post-secondary non-tertiary education,Spain,2012,Index,Units,102.799340
Private expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Spain,2012,Percentage,Units,11.322858
Change in expenditure per student in tertiary education,Spain,2012,Index,Units,99.476204
General government net lending,Spain,2011,Percentage,Units,-9.642122
General government net lending,Spain,2012,Percentage,Units,-10.467920
General government net lending,Spain,2013,Percentage,Units,-6.989128
General government net lending,Spain,2014,Percentage,Units,-5.968472
General government net lending,Spain,2015,Percentage,Units,-5.272461
General government revenues,Spain,2011,Percentage,Units,36.188366
General government revenues,Spain,2012,Percentage,Units,37.634579
General government revenues,Spain,2013,Percentage,Units,38.572848
General government revenues,Spain,2014,Percentage,Units,38.877840
General government revenues,Spain,2015,Percentage,Units,38.452595
General government expenditures,Spain,2011,Percentage,Units,45.830488
General government expenditures,Spain,2012,Percentage,Units,48.102499
General government expenditures,Spain,2013,Percentage,Units,45.561976
General government expenditures,Spain,2014,Percentage,Units,44.846312
General government expenditures,Spain,2015,Percentage,Units,43.725056
Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),Spain,2011,Percentage,Units,77.687120
Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),Spain,2012,Percentage,Units,92.526270
Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),Spain,2013,Percentage,Units,105.733600
Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),Spain,2014,Percentage,Units,118.406100
Adjusted general government debt-to-GDP (excluding unfunded pension liabilities),Spain,2015,Percentage,Units,116.311900
Structure of central government expenditures; general public services,Spain,2011,Percentage,Units,67.980000
Structure of central government expenditures; general public services,Spain,2012,Percentage,Units,64.040000
Structure of central government expenditures; general public services,Spain,2013,Percentage,Units,72.610000
Structure of central government expenditures; general public services,Spain,2014,Percentage,Units,72.730000
Structure of central government expenditures; general public services,Spain,2015,Percentage,Units,71.390000
Structure of central government expenditures; defence,Spain,2011,Percentage,Units,5.140000
Structure of central government expenditures; defence,Spain,2012,Percentage,Units,3.610000
Structure of central government expenditures; defence,Spain,2013,Percentage,Units,4.240000
Structure of central government expenditures; defence,Spain,2014,Percentage,Units,3.980000
Structure of central government expenditures; defence,Spain,2015,Percentage,Units,4.680000
Structure of central government expenditures; public order and safety,Spain,2011,Percentage,Units,5.790000
Structure of central government expenditures; public order and safety,Spain,2012,Percentage,Units,4.250000
Structure of central government expenditures; public order and safety,Spain,2013,Percentage,Units,4.880000
Structure of central government expenditures; public order and safety,Spain,2014,Percentage,Units,5.020000
Structure of central government expenditures; public order and safety,Spain,2015,Percentage,Units,5.110000
Structure of central government expenditures; economic affairs,Spain,2011,Percentage,Units,9.900000
Structure of central government expenditures; economic affairs,Spain,2012,Percentage,Units,19.500000
Structure of central government expenditures; economic affairs,Spain,2013,Percentage,Units,8.420000
Structure of central government expenditures; economic affairs,Spain,2014,Percentage,Units,7.970000
Structure of central government expenditures; economic affairs,Spain,2015,Percentage,Units,8.160000
Structure of central government expenditures; environmental protection,Spain,2011,Percentage,Units,0.440000
Structure of central government expenditures; environmental protection,Spain,2012,Percentage,Units,0.260000
Structure of central government expenditures; environmental protection,Spain,2013,Percentage,Units,0.250000
Structure of central government expenditures; environmental protection,Spain,2014,Percentage,Units,0.270000
Structure of central government expenditures; environmental protection,Spain,2015,Percentage,Units,0.300000
Structure of central government expenditures; housing and community amenities,Spain,2011,Percentage,Units,0.090000
Structure of central government expenditures; housing and community amenities,Spain,2012,Percentage,Units,0.050000
Structure of central government expenditures; housing and community amenities,Spain,2013,Percentage,Units,0.050000
Structure of central government expenditures; housing and community amenities,Spain,2014,Percentage,Units,0.040000
Structure of central government expenditures; housing and community amenities,Spain,2015,Percentage,Units,0.040000
Structure of central government expenditures; health,Spain,2011,Percentage,Units,1.330000
Structure of central government expenditures; health,Spain,2012,Percentage,Units,1.010000
Structure of central government expenditures; health,Spain,2013,Percentage,Units,1.180000
Structure of central government expenditures; health,Spain,2014,Percentage,Units,1.210000
Structure of central government expenditures; health,Spain,2015,Percentage,Units,1.230000
Structure of central government expenditures; recreation; culture and religion,Spain,2011,Percentage,Units,1.400000
Structure of central government expenditures; recreation; culture and religion,Spain,2012,Percentage,Units,0.900000
Structure of central government expenditures; recreation; culture and religion,Spain,2013,Percentage,Units,0.960000
Structure of central government expenditures; recreation; culture and religion,Spain,2014,Percentage,Units,0.970000
Structure of central government expenditures; recreation; culture and religion,Spain,2015,Percentage,Units,0.960000
